name,mean,stddev
dPLY MOI 10,18.089667,0.060053
dd MOI 100,21.252667,0.143932
D39 MOI 10,18.810667,0.103036
Mock,17.685000,0.045255
dCPS MOI 10,19.704667,0.070515
dd MOI 10,18.079667,0.078704
dCPS MOI 100,23.135000,0.015395
D39 MOI 100,19.637333,0.143779
dPLY MOI 100,18.616500,0.004950
+,18.009333,0.208150

detector,name,mean,stddev,dct,ddct,ddcterr,rq,rqerr
IL8,dCPS MOI 10,17.886333,0.105339,0.201333,-1.932333,0.162138,3.816720,0.428943
IL8,Mock,19.818667,0.018230,2.133667,0.000000,0.068998,1.000000,0.693147
IL8,dCPS MOI 100,20.436000,0.023516,2.751000,0.617333,0.072125,0.651875,0.032589
IL8,D39 MOI 10,18.395667,0.101106,0.710667,-1.423000,0.156655,2.681425,0.291162
IL8,dd MOI 100,17.294333,0.057327,-0.390667,-2.524333,0.103289,5.753075,0.411889
IL8,dPLY MOI 10,16.622667,0.036896,-1.062333,-3.196000,0.082575,9.164143,0.524526
IL8,dd MOI 10,15.987333,0.126200,-1.697667,-3.831333,0.189601,14.234632,1.870739
IL8,D39 MOI 100,17.420333,0.044837,-0.264667,-2.398333,0.090093,5.271938,0.329219
IL8,dPLY MOI 100,15.755333,0.049571,-1.929667,-4.063333,0.094925,16.718034,1.099991
IL8,+,16.888667,0.050817,-0.796333,-2.930000,0.096232,7.621104,0.508352
DEFB3,dPLY MOI 10,31.764000,0.231162,14.079000,-1.474000,0.333119,2.777910,0.641420
DEFB3,dPLY MOI 100,32.768333,0.072611,15.083333,-0.469667,0.120999,1.384789,0.116142
DEFB3,dd MOI 100,28.002667,0.086310,10.317667,-5.235333,0.137821,37.669718,3.598601
DEFB3,dCPS MOI 10,28.962000,0.049508,11.277000,-4.276000,0.094858,19.373329,1.273804
DEFB3,D39 MOI 10,31.056000,0.196527,13.371000,-2.182000,0.285205,4.537822,0.897078
DEFB3,dCPS MOI 100,27.660000,0.013077,9.975000,-5.578000,0.066618,47.768908,2.205791
DEFB3,D39 MOI 100,29.058333,0.067241,11.373333,-4.179667,0.114624,18.121955,1.439813
DEFB3,+,32.537000,0.110490,14.852000,-0.701000,0.168855,1.625631,0.190266
DEFB3,Mock,33.238000,0.192424,15.553000,0.000000,0.279553,1.000000,0.693147
DEFB3,dd MOI 10,31.400333,0.050895,13.715333,-1.837667,0.096315,3.574315,0.238624
DEFB2,D39 MOI 100,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
DEFB2,Mock,35.773500,0.433456,18.088500,0.000000,0.616332,1.000000,0.693147
DEFB2,dCPS MOI 100,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
DEFB2,D39 MOI 10,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
DEFB2,+,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
DEFB2,dCPS MOI 10,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
DEFB2,dd MOI 10,36.717500,0.761554,19.032500,0.944000,1.078900,0.519790,0.388718
DEFB2,dPLY MOI 100,36.709000,0.784959,19.024000,0.935500,1.111943,0.522861,0.402990
DEFB2,dd MOI 100,37.357000,0.000000,19.672000,1.583500,0.064000,0.333671,0.014802
DEFB2,dPLY MOI 10,38.000000,0.000000,20.315000,2.226500,0.064000,0.213676,0.009479
